Timestamp,ArrayId,SensorId,SensorType,Value,Unit,Quality
2025-12-01T09:00:00,CESTAS-PV-01,SN-CESTAS-01-PWR,AcPower,13435.9,kW,Good
2025-12-01T09:00:00,CESTAS-PV-01,SN-CESTAS-01-IRR,Irradiance,390.1,Wm2,Good
2025-12-01T09:00:00,CESTAS-PV-01,SN-CESTAS-01-TMP,ModuleTemp,37.5,degC,Good
2025-12-01T09:00:00,CESTAS-PV-01,SN-CESTAS-01-INV,InverterLoad,56.8,pct,Good
2025-12-01T12:00:00,CESTAS-PV-01,SN-CESTAS-01-PWR,AcPower,30535.6,kW,Good
2025-12-01T12:00:00,CESTAS-PV-01,SN-CESTAS-01-IRR,Irradiance,932.5,Wm2,Good
2025-12-01T12:00:00,CESTAS-PV-01,SN-CESTAS-01-TMP,ModuleTemp,65.4,degC,Good
2025-12-01T12:00:00,CESTAS-PV-01,SN-CESTAS-01-INV,InverterLoad,100,pct,Good
2025-12-01T15:00:00,CESTAS-PV-01,SN-CESTAS-01-PWR,AcPower,23682.5,kW,Good
2025-12-01T15:00:00,CESTAS-PV-01,SN-CESTAS-01-IRR,Irradiance,780.1,Wm2,Good
2025-12-01T15:00:00,CESTAS-PV-01,SN-CESTAS-01-TMP,ModuleTemp,66.5,degC,Good
2025-12-01T15:00:00,CESTAS-PV-01,SN-CESTAS-01-INV,InverterLoad,61.6,pct,Good
2025-12-01T09:00:00,CESTAS-PV-02,SN-CESTAS-02-PWR,AcPower,21146.5,kW,Good
2025-12-01T09:00:00,CESTAS-PV-02,SN-CESTAS-02-IRR,Irradiance,719.3,Wm2,Good
2025-12-01T09:00:00,CESTAS-PV-02,SN-CESTAS-02-TMP,ModuleTemp,61.5,degC,Good
2025-12-01T09:00:00,CESTAS-PV-02,SN-CESTAS-02-INV,InverterLoad,70.6,pct,Good
2025-12-01T12:00:00,CESTAS-PV-02,SN-CESTAS-02-PWR,AcPower,9049.3,kW,Good
2025-12-01T12:00:00,CESTAS-PV-02,SN-CESTAS-02-IRR,Irradiance,301.5,Wm2,Good
2025-12-01T12:00:00,CESTAS-PV-02,SN-CESTAS-02-TMP,ModuleTemp,41.3,degC,Good
2025-12-01T12:00:00,CESTAS-PV-02,SN-CESTAS-02-INV,InverterLoad,41.1,pct,Good
2025-12-01T15:00:00,CESTAS-PV-02,SN-CESTAS-02-PWR,AcPower,29304.4,kW,Good
2025-12-01T15:00:00,CESTAS-PV-02,SN-CESTAS-02-IRR,Irradiance,864.9,Wm2,Good
2025-12-01T15:00:00,CESTAS-PV-02,SN-CESTAS-02-TMP,ModuleTemp,72.8,degC,Good
2025-12-01T15:00:00,CESTAS-PV-02,SN-CESTAS-02-INV,InverterLoad,90.2,pct,Good
2025-12-01T09:00:00,CESTAS-PV-03,SN-CESTAS-03-PWR,AcPower,27287,kW,Good
