Timestamp,SensorId,Value,Quality
2025-12-01T00:00:00,SN001,365.2,Good
2025-12-01T00:00:00,SN002,285.4,Good
2025-12-01T00:00:00,SN003,11250,Good
2025-12-01T00:00:00,SN004,0.42,Good
2025-12-01T00:00:00,SN005,310.5,Good
2025-12-01T00:00:00,SN006,685.3,Good
2025-12-01T00:00:00,SN007,28.4,Good
2025-12-01T00:00:00,SN008,62.5,Good
2025-12-01T00:00:00,SN009,185.2,Good
2025-12-01T00:00:00,SN010,448.6,Good
2025-12-01T00:00:00,SN011,1585.0,Good
2025-12-01T00:00:00,SN012,1648.2,Good
2025-12-01T00:00:00,SN013,485.3,Good
2025-12-01T00:00:00,SN014,-0.85,Good
2025-12-01T00:00:00,SN015,45.2,Good
2025-12-01T00:00:00,SN016,725.4,Good
2025-12-01T00:00:00,SN017,985.0,Good
2025-12-01T00:00:00,SN018,32.5,Good
2025-12-01T00:00:00,SN019,1295.0,Good
2025-12-01T00:00:00,SN020,5.8,Good
2025-12-01T00:00:00,SN021,0.65,Good
2025-12-01T00:00:00,SN022,18.5,Good
2025-12-01T00:00:00,SN023,742.0,Good
2025-12-01T00:00:00,SN024,2450.0,Good
2025-12-01T00:00:00,SN025,738.5,Good
2025-12-01T00:00:00,SN026,0.52,Good
2025-12-01T00:00:00,SN027,925.3,Good
2025-12-01T00:00:00,SN028,918.7,Good
2025-12-01T00:00:00,SN029,88.5,Good
2025-12-01T00:00:00,SN030,655.2,Good
2025-12-01T00:00:00,SN031,1125.0,Good
2025-12-01T00:00:00,SN032,385000,Good
2025-12-01T00:00:00,SN033,12500,Good
2025-12-01T00:00:00,SN034,988.0,Good
2025-12-01T00:00:00,SN035,308.2,Good
2025-12-01T00:00:00,SN036,992.5,Good
2025-12-01T00:00:00,SN037,885.0,Good
2025-12-01T00:00:00,SN038,878.5,Good
2025-12-01T00:00:00,SN039,1580.0,Good
2025-12-01T00:00:00,SN040,55.8,Good
2025-12-01T00:05:00,SN001,366.1,Good
2025-12-01T00:05:00,SN002,286.0,Good
2025-12-01T00:05:00,SN003,11280,Good
2025-12-01T00:05:00,SN004,0.43,Good
2025-12-01T00:05:00,SN005,310.8,Good
2025-12-01T00:05:00,SN006,685.8,Good
2025-12-01T00:05:00,SN007,28.3,Good
2025-12-01T00:05:00,SN008,63.0,Good
2025-12-01T00:05:00,SN011,1588.0,Good
2025-12-01T00:05:00,SN012,1650.5,Good
2025-12-01T00:05:00,SN017,986.2,Good
2025-12-01T00:05:00,SN018,32.4,Good
2025-12-01T00:05:00,SN019,1297.0,Good
2025-12-01T00:05:00,SN023,743.5,Good
2025-12-01T00:05:00,SN024,2452.0,Good
2025-12-01T00:05:00,SN030,656.0,Good
2025-12-01T00:05:00,SN031,1124.5,Good
2025-12-01T00:10:00,SN001,364.8,Good
2025-12-01T00:10:00,SN002,285.1,Good
2025-12-01T00:10:00,SN003,11230,Good
2025-12-01T00:10:00,SN004,0.44,Good
2025-12-01T00:10:00,SN005,311.2,Good
